timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1681911606061,212,PodcastPage,200,OK,WebinarsAndPodcast 1-66,text,true,,14163,238,24,24,https://app.reorg.com:443/v3,84,0,0
1681911606061,84,PodcastPage-0,301,Moved Permanently,WebinarsAndPodcast 1-66,text,true,,335,117,24,24,http://app.reorg.com/v3#/webinars_podcasts,84,0,0
1681911606145,128,PodcastPage-1,200,OK,WebinarsAndPodcast 1-66,text,true,,13828,121,24,24,https://app.reorg.com:443/v3,128,0,0
1681911605773,548,PodcastPage,200,OK,WebinarsAndPodcast 1-75,text,true,,14156,238,25,25,https://app.reorg.com:443/v3,161,0,81
1681911606100,221,PodcastPage,200,OK,WebinarsAndPodcast 1-58,text,true,,14164,238,25,25,https://app.reorg.com:443/v3,79,0,0
1681911605773,161,PodcastPage-0,301,Moved Permanently,WebinarsAndPodcast 1-75,text,true,,335,117,25,25,http://app.reorg.com/v3#/webinars_podcasts,161,0,81
1681911606100,79,PodcastPage-0,301,Moved Permanently,WebinarsAndPodcast 1-58,text,true,,335,117,25,25,http://app.reorg.com/v3#/webinars_podcasts,79,0,0
1681911605934,387,PodcastPage-1,200,OK,WebinarsAndPodcast 1-75,text,true,,13821,121,25,25,https://app.reorg.com:443/v3,387,0,249
1681911606179,142,PodcastPage-1,200,OK,WebinarsAndPodcast 1-58,text,true,,13829,121,25,25,https://app.reorg.com:443/v3,142,0,0
1681911606112,222,PodcastPage,200,OK,WebinarsAndPodcast 1-73,text,true,,14164,238,25,25,https://app.reorg.com:443/v3,88,0,0
1681911606112,88,PodcastPage-0,301,Moved Permanently,WebinarsAndPodcast 1-73,text,true,,335,117,25,25,http://app.reorg.com/v3#/webinars_podcasts,88,0,0
1681911606200,134,PodcastPage-1,200,OK,WebinarsAndPodcast 1-73,text,true,,13829,121,25,25,https://app.reorg.com:443/v3,133,0,0
